Decile,total,prob_threshold,good,% Good,bad,cumm_good,cumm_bad,% cumm_good,% cumm_bad,% cumm_bad_avoided, Profit ,
1,445,0.6246886,327,0.734831461,118,327,118,0.300551471,0.035150432,0.964849568," $2,938,100.00 ",
2,444,0.42003247,219,0.493243243,225,546,343,0.501838235,0.102174561,0.897825439," $4,260,620.00 ",
3,445,0.29448178,150,0.337078652,295,696,638,0.639705882,0.19005064,0.80994936," $4,543,720.00 ",
4,444,0.22084808,114,0.256756757,330,810,968,0.744485294,0.288352696,0.711647304," $4,291,240.00 ",
5,444,0.16754931,91,0.204954955,353,901,1321,0.828125,0.393506107,0.606493893," $3,693,760.00 ",
6,445,0.12735191,67,0.150561798,378,968,1699,0.889705882,0.506106643,0.493893357," $2,731,860.00 ",
7,444,0.09594022,61,0.137387387,383,1029,2082,0.945772059,0.620196604,0.379803396," $1,684,380.00 ",
8,445,0.067105554,27,0.060674157,418,1056,2500,0.970588235,0.744712541,0.255287459," $122,480.00 ",
9,444,0.040207524,21,0.047297297,423,1077,2923,0.989889706,0.870717903,0.129282097," $(1,525,000.00)", 
10,445,0.002507831,11,0.024719101,434,1088,3357,1,1,0," $(3,326,900.00)",
,,,,,,,,,,,,
,,Revenue From a Successful Costomer,15000,,,,,,,,,
,,cost of promotional sample kit,4420,,,,,,,,,
